"Title","Author","Description","Body","Date posted","Minimum Participants","Maximum Participants","Minimum Duration","Maximum Duration","Minimum Cost","Maximum Cost","Facilitation?","","","","","","Stages","Stages (other)","","","","","","","","","",""
"Democratic Education","Scott Fletcher","","DefinitionDemocratic education infuses the learning process with these fundamental values of our society.  Democratic education sees young people not as passive recipients of knowledge, but rather as active co-creators of their own learning. They are not...","Tue, 02/16/2016 - 19:00","","","","","","","No","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Express opinions/preferences only","","Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","Open to all, Election","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Express opinions/preferences only","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Providing Social Goods","Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","","","","","","Academic Institution","Academic Institution"
"Democs","Kateryna Onyiliogwu","Democs is a deliberation method that takes the form of  a card game that enables small groups of citizens to learn about and discuss complex public policy issues.The game usually takes 60 to 90 minutes among small groups of people (between 5-9 players). Democs lowers formal barriers of entry as its open to everyone who would like to take part. Democs offers the flexibility of location hence inaccessible location is not an obstacle for participants. A simple structure and rules allows the game to be run without a facilitator which can appeal to inexperienced participants. The participants do not require preparation as information is provided in 'bite size' chunks on sets of cards. These cards are designed by experts on particular subjects.","DefinitionDemocs (Deliberative Meetings Organised by Citizens) is a deliberation method that takes the form of  a card game that enables small groups of citizens to learn about and discuss complex scientific, political and ethical issues. Democs is an...","Sat, 09/07/2013 - 14:14","","","","","","","No","","","","","","","","","","","","","","","","",""
"Direct Democracy","Paul Nollen","","content:  Related Organisations   Related Cases   Related Methods  Direct Democracy pages on Participedia  DemocracyDemocracy was invented in the ancient city of Athens by Cleisthenes about 2,500 years ago. In Greek, ‘Demos’ means ‘the people of the...","Wed, 12/08/2010 - 13:06","","","","","","","No","Discussion, Dialogue, or Deliberation","","Make public decisions (i.e. exert direct authority)","","Discussion, Dialogue, or Deliberation","","Trust Building","","Achieving Public Goods, Providing Social Goods","Make public decisions (i.e. exert direct authority)","","","","","","Community Based Organization",""
"Direct Representation (Minimal Coleman)","Ditch Townsend","Devised independently, but now nesting within Coleman’s political philosophy, this method offers elected representatives and aspirant activists a minimal set of activities which informally fuse aspects of direct and representative democracy, offer constituents a more authentic political conversation, and need not await wider political reforms.","DefinitionIn 2005, Stephen Coleman called 'Direct Representation', ""an ongoing conversation... something that speaks to (citizens) emotional needs to be respected and treated as equals... in which representatives listen to and acknowledge the authority...","Sat, 05/31/2014 - 03:27","","","","","","","No","No interaction among participants","","Co-governance (i.e. to share decision making with public authorities)","Open to all","No interaction among participants","","Recruitment (perpetual), Interaction (cycles)","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Providing Social Goods","Co-governance (i.e. to share decision making with public authorities)","Decision-Making","5 - Very Polarized","3 - Sometimes Interdependent on Other Issues","3 - Somewhat Complex","","Individual","Individual"
"Doparie","Scott Fletcher","","DefinitionThe ‘doparie’ is an Intra-Party Deliberative Referendum mechanism that is meant to improve the internal decision making process within parties in between elections.Problems and PurposeRaffaele Calabretta, a senior researcher at the Italian...","Sun, 01/31/2016 - 08:16","","","","","","","No","Discussion, Dialogue, or Deliberation","","Other","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","","National","","Other","Conflict Resolution, Decision-Making, Preference Articulation","4 - Polarized","3 - Sometimes Interdependent on Other Issues","3 - Somewhat Complex","","National Government","National Government"
"Dynamic Facilitation","Rosa_Z","","DefinitionDynamic Facilitation, aka the ""choice-creating process"" is a specific form of working with groups that helps participants engage creatively with divergent perspectives.Some of its hallmarks include: a) welcoming ""initial solutions"" as...","Mon, 12/30/2013 - 19:14","","","","","","","No","","","","","","","","","","","","","","","","",""
"Dynamic Governance","jschinnerer","","Dynamic Governance is another name for sociocracy - see the entry for the Sociocracy method for more details.","Wed, 11/26/2014 - 12:58","1","Varies","Ongoing","Ongoin","US$0","US$0","Yes","","","","","","","","","","","","","","","","",""
"e-Deliberation™","jdcusin","Update February 2015: the e-Deliberation platform has been retired; it failed to reach escape velocity.


An e‑Deliberation™ event is a collaborative deliberation process mediated online. Participants work individually, in teams, and as a group to address or resolve the Focus of the event. The process is systematic and is consent-based. This approach also allows minority ideas to be considered carefully. The process yields a multipronged, integrated strategy or policy around which there has been a meeting of the minds and a critical mass of persons to ensure its success in implementation. While it is mediated online, groups may elect to meet face to face as well if co-located. e-Deliberation™ is based on the cybernetician Stafford Beer's Team Syntegrity protocol.","Update February 2015: the e-Deliberation platform has been retired; it failed to reach escape velocity.Definitione-Deliberation is an online enabling technology for collaborative decision and strategy making by the persons who have the expertise or are...","Mon, 02/04/2013 - 17:37","15","80","6 hours","30 hours","US$1500","US$5850","Yes","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Other","","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Make public decisions (i.e. exert direct authority), Raise public awareness, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning), Protest","Open to all, Open to all with targeted recruitment, Random Selection, Appointment, Other","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Other","","see https://www.e-deliberation.com/article/how-it-works","International","Achieving Public Goods, Addressing Identity-Based Issues, Providing Social Goods","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Make public decisions (i.e. exert direct authority), Raise public awareness, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning), Protest","Agenda Formation, Co-Production, Conflict Resolution, Decision-Making, Preference Articulation","4 - Polarized","5 - Always Tied to Other Issues","4 - Quite Complex","","International Organization, National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Community Based Organization, Non-Governmental Organization (Non-profit), For Profit Business","International Organization, National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Community Based Organization, Non-Governmental Organization (Non-profit), Individual, For Profit Business"
"E-Democracy Centre","Paul Nollen","","e-Democracy CentreWelcome to the e-DC, o­ne of the first interdisciplinary research centres dedicated to the study of e-democracy. Our main goal at the e-DC is to conduct research on how new information and communication technologies are interacting with...","Mon, 08/30/2010 - 18:32","","","","","","","No","","","","","","","","","","","","","","","","",""
"Ecosystem-based Management","Tyler Carlson","","(Note: This article is a stub and requires further elaboration and editing)
Definition:
Ecosystem-based management (EBM) is a concept that links human and ecological systems through adaptive management approaches. Generally, EBM promotes human well-being...","Mon, 05/16/2016 - 08:16","","","","","","","No","","","","","","","","","","","","","","","","",""
"Election Monitoring","Scott Fletcher","","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Lessons Learned Secondary Sources External Links Notes ","Tue, 02/02/2016 - 08:19","","","","","","","No","No interaction among participants, Listen/watch as spectator","","Raise public awareness","Open to all","No interaction among participants, Listen/watch as spectator","","","National","Achieving Public Goods, Providing Social Goods","Raise public awareness","Conflict Resolution","","","","","Non-Governmental Organization (Non-profit)","Non-Governmental Organization (Non-profit)"
"Electoral District Forum","Travis Mitchell","An electoral district forum is an online nonpartisan discussion board for the constituents of a single officeholder to interact with themselves, and with their incumbent and candidate political leaders. It is designed to make it easier for representatives to be more responsive to their constituents. It does this by increasing dialogue and by reducing everybody's dependence on expensive mainstream media.","DefinitionAn electoral district forum is an online nonpartisan discussion board for the constituents of a single officeholder to interact with themselves, and with their incumbent and candidate political leaders. It is designed to make it easier for...","Wed, 06/10/2015 - 10:45","10","Varies","Ongoing","Ongoing","US$1","US$200","No","Discussion, Dialogue, or Deliberation","","Co-governance (i.e. to share decision making with public authorities)","Other","Discussion, Dialogue, or Deliberation","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods","Co-governance (i.e. to share decision making with public authorities)","Decision-Making, Preference Articulation","5 - Very Polarized","5 - Always Tied to Other Issues","5 - Highly Complex","","Individual","Individual"
"Electronic Direct Democracy","Paul Nollen","","Electronic Direct_Democracy (EDD) is the strongest form of direct democracy, in which people are involved in the legislative function. Many advocates think that also important to this notion are technological enhancements to the deliberative process....","Fri, 07/01/2011 - 10:05","","","","","","","Yes","","","Make public decisions (i.e. exert direct authority)","Open to all","","","Decision-Making","International","Achieving Public Goods, Addressing Identity-Based Issues, Distributing Individual Material Goods, Providing Social Goods","Make public decisions (i.e. exert direct authority)","","3 - Somewhat Polarized","2 - Seldom Tied to Other Issues","","","Community Based Organization",""
"End to end auditable voting system ""Helios""","Paul Nollen","","Helios offers truly verifiable online elections.
If you’re a member of:
a homeowner’s/condo association, an open-source software community, a student government,any other community that holds elections you can set up your Helios election in minutes.
On...","Fri, 08/27/2010 - 19:08","","","","","","","No","","","","","","","","","","","","","","","","",""
"European Awareness Scenario Workshop (EASW)","Alli Welton","","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Criticism Secondary Sources External Links Notes ","Wed, 04/11/2012 - 10:04","","","","","","","No","","","","","","","","","","","","","","","","",""
"European Citizens' Initiative","Scott Fletcher","Citizen initiatives give residents across the EU the direct ability to propose legislation and influence matters that concern the entire continent. Initiatives that garner 1 million signatures across a wide range of Member States are considered for implementation by the European Commission.","Problems and PurposeThe European Citizens’ Initiative (ECI) is one of the EU’s political innovations aimed at fostering more direct and participatory democracy. As laid out in the Treaty of Lisbon, the ECI is unique in that it is one of the first...","Sat, 04/16/2016 - 15:09","","","","","","","No","Express opinions/preferences only, Other","","Co-governance (i.e. to share decision making with public authorities)","Open to all","Express opinions/preferences only, Other","","","International","","Co-governance (i.e. to share decision making with public authorities)","Implementation, Preference Articulation","","","","","International Organization, Individual","International Organization, Individual"
"European Local Democracy Week","Mooreram",""," Definition 
The European Local Democracy Week (ELDW) is an annual event in Europe which fosters local and national participation in promoting the knowledge of local democracy and the idea of democratic participation at a local level. Founded in 2007,...","Tue, 12/07/2010 - 19:53","1","500","1","7","US$100","US$100","Yes","","","Raise public awareness","Open to all","","","","International","Achieving Public Goods, Providing Social Goods","Raise public awareness","Agenda Formation, Conflict Resolution, Implementation","1 - Not Polarized","3 - Sometimes Interdependent on Other Issues","","","Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)"
"Evaluating the efficiency of participation","John May","I introduce a new tool for evaluating the efficiency of participation. Called the Effective Number of Issues (ENI) it makes a precise measurement of the flow of information from participants to sponsors. This permits direct and rigorous comparison of the efficiency of different participation methods, and of the same method in different contexts. Instructions for doing the (quite straightforward) calculations are given.","DefinitionA new method for evaluating the efficiency of participation.Problems and PurposeAims to lay the foundation for rigorous comparison of the efficiency of different participation methods by using the data itself. This has not been possible before....","Thu, 01/01/2015 - 03:30","","","","","","","No","","","","","","","","","","","","","","","","",""
"Forum Theatre","Ejmoore","","Definition
Forum theatre (also known as ‘popular theatre’ or ‘participatory theatre’) is, at base, theatre as democratic political forum. Each project is stimulated by a specific community’s experience of disempowerment and struggle, and the desire for...","Sat, 11/14/2009 - 20:05","5","500","6","90","","","Yes","Discussion, Dialogue, or Deliberation","","Raise public awareness","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","Trust Building","","Achieving Public Goods, Providing Social Goods, Addressing Identity-Based Issues","Raise public awareness","Agenda Formation, Preference Articulation, Conflict Resolution, Decision-Making","4 - Polarized","4 - Often Interdependent with Other Issues","","","Community Based Organization","Community Based Organization"
"Globplex","Paul Nollen","Evolutive Society System

Global e-Society Complex project is the blueprint, proposed for the conception,
elaboration and implementation of a society model, that is viable, worldwide, for all future generations.
And this simultaneously, in terms of ecology, health, economy, social welfare, culture, and personal and societal higher values.
It is proposed to be conceived in crowd-mode, with the proactive participation of a maximum of people and entities.
It is projected to combine the essence of, now mainly dispersed, relevant ideas, experiments and realizations, looking for an alternative of the techno-mercantilist model, that has dominated society and way of life, during the last centuries.
Global e-Society Complex is intended to be based on complexity driven forms of holistic, non linear thinking and perception.
As a societal organization, Global e-Society Complex is the blueprint for a consortium sui generis of people and entities, pro actively participating in conceiving, organizing and implementing an evolutive society model and way of life.
It en globes non profit as well as business enterprise entities.","DefinitionGlobal e-Society ComplexEmpowering people, as well as public and private entities, to proactively shape together a new, viable, open and harmonious society, day-by-day and locally-to-globally, substituting the, now imploding, techno-...","Wed, 01/11/2012 - 02:50","","","","","","","No","","","","","","","","","","","","","","","","",""
"Guide to Evaluating Participatory Processes","holivan","This publication is a methodology to review and improve the process of public participation. The Guide describes the generic aspects to be taken into account to design a rigorous evaluation, recommendations that are specified as indicators and assessment tools. Finally, all these aspects are applied on a case study.","Definition This Guide is intended to offer some practical guidance for anyone trying to conduct a planned and organised evaluation of the processes of citizen participation sponsored by a public administration.Problems and purposeOne of the basic...","Wed, 11/05/2014 - 02:55","","","","","","","No","","","","","","","","","","","","","","","","",""
"Habitat Conservation Planning in the U.S.","asalshah","A look into how the government tries to balance non-federal land development with the conservation of threatened and endangered species which dwell on that land through a thing called Habitat Conservation Plans.","DefinitionHabitat Conservation Planning (HCP) in the U.S. is a plan that prepared under the Endangered Species Act (ESA) by nonfederal parties who want to obtain permits for the incidental taking of threatened and endangered species. They are planning...","Wed, 02/29/2012 - 19:36","none","none","varies","100 years","","","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Other","Discussion, Dialogue, or Deliberation","","Initial contact, Negotiation, National Environmental Policy Act Review, Application, Issuance, Implementation","National","","Consultation (i.e. to advise decision makers)","Agenda Formation, Conflict Resolution, Decision-Making","","4 - Often Interdependent with Other Issues","","","Community Based Organization, Other","Government-Owned Corporation"
"Initiative Process","Vicnin","The initiative process is a form of direct democracy. Two types of initiative process are widely in use today.  The first is called the citizens’ initiative. In the citizens’ initiative process, citizens draft a legislative bill or constitutional amendment (a “measure”), which they then propose by petition; if the petition receives sufficient popular support, the measure is then placed on the ballot and can be enacted into law by a direct vote of citizens.  The second type of initiative process is called the agenda initiative. In the agenda-initiative process, citizens draft a measure, which they then propose by petition; if the petition receives sufficient popular support, the measure is submitted to the legislature, which decides whether to enact or implement the measure.","DefinitionThe initiative process is a form of direct democracy. Two types of initiative process are widely in use today.  The first is called citizens’ initiative or popular initiative (hereinafter, “citizens’ initiative”). In the citizens’ initiative...","Wed, 06/02/2010 - 17:37","","","","","","","No","Other","","Make public decisions (i.e. exert direct authority)","Other","Other","","Petition, Campaign, Informal Deliberation, Election","","Achieving Public Goods","Make public decisions (i.e. exert direct authority)","","","","","","",""
"Internet Communications Technologies (ICT)","Scott Fletcher","","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Lessons Learned Secondary Sources External Linkshttp://wbi.worldbank.org/boost/tools-resources/...","Mon, 02/29/2016 - 08:39","","","","","","","No","Express opinions/preferences only","","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities)","Open to all, Open to all with targeted recruitment","Express opinions/preferences only","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Distributing Individual Material Goods, Providing Social Goods","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities)","Preference Articulation","","","","","Local Government (e.g. Village, Town, City)","International Organization"
"Japanese Consensus Conference","rosekwame","This conference was constructed after the Danish Consensus model: a three to four day public conference at which both technically and socially relevant aspects of a new technology are discussed. It is usually divided into four stages: selection of an overall topic; recruitment and selection of the lay panel members; two preparatory weekends; and the main conference. The citizen panel then produces the conference report.However, in the Danish model of a consensus conference the lay panel decides which experts they will choose to speak before the panel.  At the Japan Consensus Conference, the steering panel decided which experts would speak at the conference.","DefinitionIn 2000, the Ministry of Agriculture, Forestry and Fisheries (MAFF), a Japanese governmental administration, organized a National Consensus Conference on genetically- modified foods in Tokyo.The consensus conference on GM food was the third...","Wed, 02/29/2012 - 23:40","18","500","2 weekends","4 weekends","US$300000","US$300000","Yes","Discussion, Dialogue, or Deliberation, Express opinions/preferences only, Formal Testimony","","Consultation (i.e. to advise decision makers), Raise public awareness","Random Selection, Other","Discussion, Dialogue, or Deliberation, Express opinions/preferences only, Formal Testimony","","Two preparatory weekends preceded the conference","National","Achieving Public Goods, Addressing Identity-Based Issues, Providing Social Goods","Consultation (i.e. to advise decision makers), Raise public awareness","Agenda Formation, Co-Production, Decision-Making, Implementation, Preference Articulation","3 - Somewhat Polarized","5 - Always Tied to Other Issues","3 - Somewhat Complex","","National Government","National Government"
"Jury","Potapv",""," 


 Definition 

Jury – randomly selected group of citizens of a country that sworn in to participate in deliberation for court to act on behalf of government. In civil courts there are usually six members and in criminal courts there are usually twelve...","Tue, 12/07/2010 - 20:00","6","500","","100","","","Yes","Discussion, Dialogue, or Deliberation","","Make public decisions (i.e. exert direct authority)","Random Selection","Discussion, Dialogue, or Deliberation","","Deliberation","","Achieving Public Goods","Make public decisions (i.e. exert direct authority)","Decision-Making, Implementation","3 - Somewhat Polarized","4 - Often Interdependent with Other Issues","","","Local Government (e.g. Village, Town, City), Regional Government (e.g. State, Provincial, Territorial), National Government","Local Government (e.g. Village, Town, City), Regional Government (e.g. State, Provincial, Territorial), National Government"
"Kgotla (public assembly)","Waddell.andrew","","Definition:
	Kgotla meetings were large tribal assemblies that were used by Tswana chiefs to discuss important issues, policies and legislation with their subjects. Boris Weber, writing for the World Bank's anti-corruption blog, described the kgotla...","Tue, 12/07/2010 - 10:41","","","","","","","No","Express opinions/preferences only","","Consultation (i.e. to advise decision makers)","Open to all","Express opinions/preferences only","","Public Hearing","Regional (e.g. State, Province, Autonomous Region)","Achieving Public Goods","Consultation (i.e. to advise decision makers)","Decision-Making, Implementation","2 - Not Very Polarized","3 - Sometimes Interdependent on Other Issues","","","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)"
"La Démocratie délibérative, outil pour renforcer la cohésion sociale en Europe ? A travers l’étude des Plans de cohésion sociale en région wallonne. ","falbertker","Ce que l’on mesure a une incidence sur ce que l’on fait ; or, si nos mesures sont défectueuses, les décisions peuvent se révéler inadaptées. Les politiques devraient avoir pour but non d’augmenter le PIB mais d’accroître le bien-être au sein de la société ». Le Conseil de l’Europe, se positionne dans la même approche que celle insufflée par la Commission Stiglitz, résumée dans ce court extrait. C’est ainsi en amont des politiques publiques, avec la volonté d’assurer une nouvelle démocratie plus inclusive, que la méthodologie SPIRAL (Societal Progress Indicators for the Responsibility of All), développée par la Division de la Cohésion sociale du CoE, se situe. Depuis 2005, elle se donne pour objectif « d‘assurer la participation effective des acteurs concernés ou du moins de leurs représentants reconnus », dans une nouvelle sphère publique.","Definition Les méthodes délibératives explorant les leviers de la cohésion sociale et s’adressant directement aux citoyens en les incluant dans le processus décisionnel par la consultation et la délibération, n’apparaissent pas dans la revue de la...","Thu, 07/11/2013 - 12:25","","","","","","","No","","","","","","","","","","","","","","","","",""
"Liquid Democracy","Paul Nollen","","Welcome to the Liquid Democracy Wiki. We're working on new methods of web-based democracy.What is Liquid Democracy?A buzzword created in 2003. While many use the term Liquid Democracy to describe internet-based Delegated Voting (a voting mechanism),...","Tue, 09/28/2010 - 09:30","","","","","","","No","","","","","","","","","","","","","","","","",""
"Living Democracy - www.echo.to","Matteo","echo is a joint Open Source project for active citizen participation - available worldwide and for all people. Its comprehensive approach is designed to address a core problem of our time: the political resignation and feelings of powerlessness of the individual.","DefinitionEcho is a joint Open Source project for active citizen participation - available worldwide and for all people. Its comprehensive approach is designed to address a core problem of our time: the political resignation and feelings of powerlessness...","Sat, 01/28/2012 - 06:05","","","","","","","No","","","","","","","","","","","","","","","","",""
"Machizukuri","Scott Fletcher","","DefinitionMachizukuri has existed in Japan since the 1960s and was used to engage residents in bettering their own communities, and to engage in dialogue with the local government in order to create accountability.  The Japanese termMachizukuri ...","Thu, 04/14/2016 - 14:23","","","","","","","No","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Collaborative delivery of services with public authorities","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Distributing Individual Material Goods, Providing Social Goods","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Collaborative delivery of services with public authorities","Agenda Formation, Decision-Making, Implementation","","","","","Local Government (e.g. Village, Town, City), Community Based Organization, Individual","Local Government (e.g. Village, Town, City), Community Based Organization"
"Magic Roundtables","Benking","Each person is given an equal number of beads, stones, or any tokens representing equal units of time. The total meeting time is divided into units matching the distributed tokens, thus valuing them. Each member then introduces her/himself, and if so desired, offers a topic for dialogue. Members then give tokens to others whose proposal or offer the group wants to enlarge from the selection offered in order to empower voices and joint interests, enlarge the flow in dialogue. This ""voting or encouraging"" continues as topics generate more or less ""empathy"" or concern; and as others join in the conversation can receive tokens as encouragement to continue with their line of thought. This open, transparent format can encourage inhibited people to participate and minimize domination by authoritarian types. In case of unexpected changes in meeting duration, the tokens can be re-/de-valued inflated/deflated to match the remaining available time. This method is one approach being highlighted in this paper: http://www.open-forum.de/time-sharing.html which might provide some general orientation.","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Criticism Secondary Sources External Links Notes ","Tue, 12/20/2011 - 14:09","","","","","","","No","","","","","","","","","","","","","","","","",""
"Model United Nations","Chang Hamilton Situ","","DefinitionModel UN is a simulation of the United Nations that aims to reach students from all walks of life by educating them about international political issues within the United Nations[1]. The Model UN encourages students to act as leaders and...","Sun, 02/26/2012 - 23:59","","","","","","","No","Discussion, Dialogue, or Deliberation","","Develop individual capacities (e.g. skills, learning)","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","","International","Achieving Public Goods","Develop individual capacities (e.g. skills, learning)","","1 - Not Polarized","3 - Sometimes Interdependent on Other Issues","1 - Very Simple","","International Organization, Academic Institution, Community Based Organization, Non-Governmental Organization (Non-profit)","International Organization, Academic Institution, Non-Governmental Organization (Non-profit)"
"Motiemarkt ""Motion-Market""","Scott Fletcher","","Problems and PurposeEvery fall, the Enschede municipality in the Netherland establishes a budget for the coming years. A preliminary version is proposed by the executive board, which is then modified by motions and amendments from the municipal council....","Sun, 02/07/2016 - 20:53","","","","","","","No","Express opinions/preferences only, Listen/watch as spectator","","Consultation (i.e. to advise decision makers)","Open to all","Express opinions/preferences only, Listen/watch as spectator","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Distributing Individual Material Goods","Consultation (i.e. to advise decision makers)","Agenda Formation, Public Marketing","","","","","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)"
"National Issues Forum","Haydenemills","","DefinitionThe National Issues Forum (NIF) is a nationwide network of locally created public forums oriented towards the deliberation of public and political issues. It is a non-partisan network of smaller forums created nationwide whose goal is to gather...","Fri, 06/04/2010 - 07:50","2","100","1","14","","US$100","Yes","Discussion, Dialogue, or Deliberation","","Raise public awareness","Open to all","Discussion, Dialogue, or Deliberation","","Trust Building","","Achieving Public Goods, Addressing Identity-Based Issues, Providing Social Goods","Raise public awareness","Decision-Making, Preference Articulation","3 - Somewhat Polarized","4 - Often Interdependent with Other Issues","","","Academic Institution, Community Based Organization, Individual, Other","Academic Institution, Community Based Organization, Individual, Other"
"Neighborhood Councils","Scott Fletcher","","DefinitionWhile the concept of neighborhood groups advising government has been around for years, no city has incorporated such a system to the degree that Los Angeles has in terms of city structure and funding. The now 96 Neighborhood Councils (NCs)...","Tue, 02/02/2016 - 09:09","","","","","","","No","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Express opinions/preferences only","","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Collaborative delivery of services with public authorities, Community building (e.g. social capital)","Open to all","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Express opinions/preferences only","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Addressing Identity-Based Issues, Distributing Individual Material Goods, Providing Social Goods","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Collaborative delivery of services with public authorities, Community building (e.g. social capital)","Implementation, Preference Articulation","","","","","Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)"
"Nepalese Participatory Planning ","Scott Fletcher","","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public InteractionPP, as a process, offers various opportunities for people to participate, interact, deliberate and thereby influence the overall decision making...","Thu, 02/11/2016 - 20:42","","","","","","","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Collaborative delivery of services with public authorities, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","Open to all, Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Distributing Individual Material Goods, Providing Social Goods","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Collaborative delivery of services with public authorities, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","Agenda Formation, Preference Articulation","","","","","Local Government (e.g. Village, Town, City), Community Based Organization","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)"
"New England Town Meetings","Angelasgarla","","Definition
The New England Town Meetings are open forums that promote democracy. The meetings include local and regional officials that attend in order to hear the communities view on public issues. Members can be invited. The town meetings are open and...","Fri, 05/21/2010 - 17:59","20","6","1","45","","US$500","No","","","Raise public awareness","Open to all","","","Deliberation","","Achieving Public Goods","Raise public awareness","","3 - Somewhat Polarized","4 - Often Interdependent with Other Issues","","","Community Based Organization, Academic Institution, Local Government (e.g. Village, Town, City)","Individual, Community Based Organization, Local Government (e.g. Village, Town, City)"
"New Hampshire Public Conversations on School Redesign and Student-centered Learning: Pittsfield, NH","Toni Lozzi","The Pittsfield School  District discovered they needed to re-vamp their school systems. With a grant from the Nellie Mae Education Foundation they started research into how they could transform their schools. The main focus was designing a community conversation to help uncover the underlying issues and develop possible solutions. Many thought the issue was the design of the school was catering to faculty, teachers, and parents rather than the students. This was the beginning of what plans to be a long-term plan of change.","DefinitionThe Pittsfield School  District discovered they needed to re-vamp their school systems. With a grant from the Nellie Mae Education Foundation they started research into how they could transform their schools. The main focus was designing a...","Wed, 12/05/2012 - 10:56","","","","","","","No","","","","","","","","","","","","","","","","",""
"noddr market democracy","Henri Nathanson","A market system is build up out of election representation and coalition representation contracts. The political lead comes from the market equilibrium. The system allows for any-time voting and is supposed to offer radically better performance with the political decition making.","DefinitionContinuious market oriented liberal political system.Problems and PurposeEfficiency of political decision making.HistoryStarted as a research project in 2005. Research ended Mai 2012. First prototypes online since March 2011. Participant...","Fri, 09/28/2012 - 08:27","","","","","","","No","","","","","","","","","","","","","","","","",""
"Online Consultations","rlw5296","","","Mon, 12/03/2012 - 15:40","","","","","","","No","","","Consultation (i.e. to advise decision makers)","Open to all","","","","","Achieving Public Goods, Addressing Identity-Based Issues","Consultation (i.e. to advise decision makers)","","","","","","",""
"Online deliberation","paolospada","","The following is a suggested structure. We recommend users follow these headings to make it easier to compare and analyze entries.Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence,...","Mon, 05/25/2015 - 12:35","","","","","","","No","","","","","","","","","","","","","","","","",""
