"Title","Description","Body","Annual Budget","Country","Executive Director","Fulltime Staff","Part-time Staff","Volunteer Count"
"DemocracyLab","DemocracyLab is a 501 (c)(3) nonprofit organization which encourages quality deliberation on social media websites like Facebook, Twitter, and Linkedin. 

A 501 (c)(3) organization is one that is granted by the Internal Revenue Service (IRS), which is not able to promote any person in a campaign or any political party. This is vital for organizations such as DemocracyLab, which promotes political discourse that is based on the non-biased values, objectives, and policies of the general public as a means to create social change. With the help of DemocracyLab, citizens can rank solutions to important problems in their community by to help give politicians some important insight."," Mission and PurposeThe creators of DemocracyLab discovered that most online political deliberation is based on emotion instead of facts. Thus, their goal is to change the way we deliberate by emphasizing the need for important values and objectives...","A non-profit organization, donation- based","United States","Mark Frischmuth","","Claire Adamsick - Communications Director",""
"Democratic Underground",""," Mission and Purpose 
The main purpose for the Democratic Underground is to provide an online discussion forum to deliberate and share progressive and liberal ideology.  Although the organization is not associated with the Democratic Party, it is...","","","David Allen","3","","32"
"Democratici Diretti","Democratici Diretti is a group of about 600 people (as from the members of their FB page) which is devoted to the implementation of Direct Democracy.
So far, however, there has been no proposal of a system for voting or direct democracy made by this group.
There have been only few votations on some issues of public interest followed by a minority of the users.","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Democratie nu","","Democratie Nu is an organisation that aims for the implementation of Direct Democracy in Belgium. The main goal is the introduction of the binding referendum on citizen's initiative.For the moment the website is only in Dutch but the translation in...","","United States","Bert Pennickx","","3",""
"Democratise","","3. The objects for which the Company is established are:(I) To carry on, in conjunction with each other or as separate and distinct undertakings, all or any of the following businesses namely:Social objectives;(II) To empower individuals and groups of...","200","","Jonathan Elmer","3","","3"
"Democràcia Electrònica","","Democràcia Electrònica(Electronic Democracy) aims to promote reflection and debate about the role in democratic innovation of new information and communication technologies, that is to say, about what some people call electronic democracy. Here you will...","","","","","",""
"Demoex","","


Note: Another version of this organization's description can be found as three file attachments with the prefix ""VD"" by clicking on ""Media"" within the Edit function. This alternate version was originally submitted to Vitalizing Democracy as a...","","","","","",""
"Demoex UK","","Demoex aims to extend democracy, by allowing people to vote on each and every issue.Demoex UK are on Twitter and Facebook Direct_Democracy organisations present on Participedia","","United States","","","",""
"Demokratie","","INITIATIV FIR DEMOKRATIE-ERWEIDERUNG  a.s.b.l. (ID)
DEMOKRATIE asbl
Initiative zur Erweiterung der Demokratie
Initiative pour la promotion de la démocratie
B.P. 54, L-8005 Bertrange, Luxembourg","","","","","",""
"Demos","","Mission and PurposeDemos is a think-tank focused on power and politics. They search for and communicate ideas to give people more power to shape their own lives.Demos' vision is a democracy of free citizens, with an equal stake in society.Their work is...","","United Kingdom","Richard Reeves","","",""
"Design For Change",""," Design For Change   BY TEAM:Brianna CarrierCatalina San MartinClaudia Wong Palacios “Superheroes are not in fantasies; they are in every child who says ‘I can’ instead of ‘Can I?’”-Kiran Bir Sethi1. Problems and PurposeThe world is full of challenges:...","","","Kiran Bir Sethi","","",""
"Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ) GmbH","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Development Network of Indigenous Voluntary Associations (DENIVA)","","DENIVA (Development Network of Indigenous Voluntary Associations) is a Ugandan Network of Non-Governmental and Community Based Organizations (NGOs/CBOs) providing a platform for collective action and a voice to voluntary local associations to strongly...","","Uganda","Professor J.B.Kwesiga","","",""
"Dialogue Learning Center","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Dick's Drive-In Restaurants","","External LinksDick's Drive-In Community Impact NCDD posting about the Countywide Community Forums and its Citizen Councilor Network NotesDick's Drive-In has underwritten the cost to support the Countywide Community Forums of King County.","","","","","",""
"Dimopolis","","http://www.dimopolis.gr/","","Greece","","","",""
"Direct Democracy Ireland","","Direct Democracy Ireland (DDI) was formed in June 2010, but the concept of direct democracy is not new in Ireland. The people of Ireland previously did have Direct Democratic powers in the Constitution of the Irish Free State (1922). In this Constitution...","","Ireland","","","",""
"Direct Democracy Not Parliamentary Rule","‘Direct Democracy Not Parliamentary Rule’ is a group based in Victoria, Austalia trying to register as a political party to advocate direct democracy to ultimately change the electoral system in place entirely. Their overall aim is not to play another role in parliament but to be present on the ballot as a means to generate interest in the ideology of direct democracy. Their current goal is to reach 550 members to be eligible to be placed on the Australian electoral ballot. They currently have a total of 121 members to date. According to their annual meeting minutes, finding ways of gathering new members to join their cause is their primary concern at this time."," Definition‘Direct Democracy Not Parliamentary Rule’ is an organization based in Victoria, Austalia working towards registering as a political party to advocate direct democracy to ultimately change the electoral system. Their overall aim is not to play...","","Australia","Dr. Joseph Toscano","121","",""
"Dudley Street Neighborhood Initiative","","Mission and PurposeThe Dudley Street Neighborhood Initiative (DSNI) is a non profit community-based organizing and planning group based in Roxbury/North Dorchester neighborhoods of Boston. Through economic, environmental, physical, and human growth they...","","","John F. Barros","8","","3"
"Dutch Ministry of the Interior and Kingdom Relations","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Décider ensemble","","1. Mission and Purpose Décider ensemble est une association française dont l’objectif est de « promouvoir et développer une culture commune du dialogue et de la concertation en matière de préparation et de prise des décisions ».2. History Décider...","","","Aurélien Sautière","3","1",""
"E-Democracy.org","","Welcome to E-Democracy.org We harness the power of online tools to support participation in public life, strengthen communities, and build democracy. ","","","","","",""
"E2D International","","E2D International (E2D) is the political international of the E2D Party movement. The idea for the organization was started in 2011 but the formal founding of E2D International has not yet taken place.Contents1 The Project2 The Mission3 An Electronic...","","","","","",""
"EcoMap India","","Mission and PurposeBy utilizing crowdmapping & harnessing public participation, EcoMap India aims to build a citizen movement that takes action to solve local eco-hazards or environmental concerns such as waste disposal, water & sanitation, and...","","India","","","",""
"Egyptian Ministry of Economic Development (MoED)","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"ESWEERWE","","Gegründet2005 von Silvia Wienefoet und Ralph Walczyk MitgliederSilvia WienefoetRalph WalczykZielsetzungESWEERWEAgentur zur Demokratisierung der Gestaltung des öffentlichen RaumsESWEERWEdurchbricht den eingeschränkten Kreis der öffentlichen-Raum-Gestalter...","","","Silvia Wienefoet","2","",""
" eThekwini Municipality","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Ethiopian Ministry of Works and Urban Development (MWUD)","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"eTrikala","","The eTrikala project is operated by the first Digital City in Greece, the Municipality of Trikala. The Municipality of Trikala is the owner of the platform and has outsourced the basic management processes of eDialogos, as for all the other vertical...","","United States","","","",""
"Eudemocracia","Develop a Direct Democracy system through Internet; being implemented by small wired communities. We believe Web 2.0 has created the perfect environment where to nurse and nourish an Open, Direct Democracy, capable of finding its own place inside the current Representative system or even replacing it!","The Evolution of DemocracyEudemocracy (εὖ an ancient Greek word meaning: “true”, “better”, “good”, “happy”) is an open and direct democracy system that takes advantage of the new Information and Communication Technology to turn current representative...","","Argentina","","","",""
"European Alternatives","European Alternatives is a transnational membership organisation promoting democracy, equality and culture beyond the nation state. We are neither a federal nor a national organisation, but a transeuropean organisation which acts in a democratic and transparent way to promote its values both within Europe and beyond. European Alternatives is not only an NGO, it is at the same time and above all a movement of citizens and the emergence of a new political subjectivity. We place members at the heart of our organisation, and empower them to take key decisions on elect the most important positions in the organisation. The organisation is governed by a transnational Constitution which was elaborated and voted upon by its members and which can be found here: http://vm0369.cs05.seeweb.it/images/article_uploads/New%20Constitution%2....","Mission and PurposeEuropean Alternatives is a transnational membership organisation promoting democracy, equality and culture beyond the nation state. The nation state is no longer the appropriate political form in which to define democratic decision-...","","","","","",""
"European Alternatives","","Mission and PurposeEuropean Alternatives is a civil society organisation devoted to exploring the potential for transnational politics and culture. They believe that today the challenges of democratic participation, social equality, and cultural...","","","Lorenzo Marsili and Niccolo Milanese","","",""
"EUROPEAN CITIZEN ACTION SERVICE (ECAS)","","EUROPEAN CITIZEN ACTION SERVICE (ECAS)  — empowering citizens and civil society with the European Union. An association about action as much as information, creating balance between public interest and corporate lobbying.
ECAS was created in 1991 as an...","","","","","",""
"European Civic Education Foundation","","Who is the European Civic Education Foundation ?ECEF deals as ""think tank"" and ""enabler"" with the themes: Learning how to teach and to learn, learning democracy and human rights, combating bad attitudes like racism, bullying and similar aggressions. ECEF...","0","Hungary","Michael Stanzer","0","0","0"
"European Commission","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"European Institute for Public Participation","","VisionThe vision of the European Institute of Public Participation (EIPP) is better and more legitimate policy decisions, informed by the active participation of the public. HistoryThe idea for EIPP sprang from the dissatisfaction of a group of members...","100000","Germany","Patrizia Nanz","8","",""
"EuroPolis","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Everyday Democracy","","Purpose and MissionEveryday Democracy works with individuals in communities throughout the United States to improve local democracy by creating and sustaining public dialogue and problem solving. Everyday Democracy’s mission is “to help communities...","$2 million","United States","Martha L. McCoy","14","",""
"Farmer Groups of Kenya","","Farmer Groups of Kenya is a strategy used by the current Kenyan Government to maximize the efficiency of its agricultural production by spreading newly developed technologies to farmers as well as setting up common goals and developing new strategies. In...","","Kenya","NASEP","","",""
"Foundation of the Peoples of the South Pacific International (FSPI)","","The Foundation of the Peoples of the South Pacific International (FSPI) is the regional secretariat for a network of 10 independent community-based organisations working in the Pacific to foster self-reliance and sustainable development.
FSPI is the...","","Fiji","Rex Horoi","","",""
"Funky Dragon","","Mission and PurposeFunky Dragon is a peer led organisation. They represent children and young people in Wales and guarantee that their voices are heard, specially by the Welsh Assembly Government.They also advocate for policy change regionally and...","","","","","",""
"Förändring 2011","","Change 2011 movementOne of the main goals of Change 2011 movement is to give citizens a possibility to influence decision-making process even during the time between elections. Year 2011 is a tiebreaker in Finnish politics. Lisbon agreement and the...","","Finland","","","",""
"GAP Unit","","Mission and PurposeThe GAP Unit is a not-for-profit organisation based in Manchester, UK. They specialise in gender awareness training; research and consultancy on gender equality issues; and supporting women and grassroots women's groups to develop...","","United Kingdom","Carolina de Oteyza and Hannah Berry","","",""
"German Federal Ministry for Economic Cooperation and Development (BMZ) ","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"GIS Participation du Public, Décision, Démocratie Participative","","Mission and PurposeFrench name : Groupement d'Intérêt Scientifique (GIS) ""Participation du public, décision, démocratie participative"" National Research Group on Participatory Democracy and Public Participation in Decision-MakingThe group, chaired by the...","","France","Jean-Michel Fourniau","2","",""
"Global Voices","","Global Voices is the international arm of AmericaSpeaks.","","United States","","","",""
"GOV2U",""," Mission and Purpose 
GOV2U [1] is a non-profit, non-governmental organization that supports political discourse between citizens and elected officials through the use of technology. The organization helps provides opportunities for citizens to actively...","","Greece","Vasilis Koulolias","5","","25"
"Governance International","","Mission and PurposeGovernance International helps agencies to achieve outcomes for citizens through excellence in public governance. They are a nonprofit organisation with a strong track record built up over eight years of working with international...","","","Elke Loeffler","","",""
"Government of Brazil","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"GovTogetherBC","GovTogetherBC is the hub for government engagement opportunities in British Columbia, Canada that require citizen participation - to listen, get informed and speak up. It supports the Canadian government in its objective to become more transparent and accessible.","Mission and PurposeThe goal of GovTogetherBC is to let citizens know what's being talked about in the province of British Columbia and plug you into ways you can get involved. Whether the government is consulting citizens about taxes, employment...","","Canada","","","",""
"Grassroots Jerusalem","","Mission and PurposeGrassroots Jerusalem is a platform for Palestinian community-based mobilisation, leadership and advocacy that helps Palestinian communities in Jerusalem strategically address the humanitarian, developmental and political issues which...","","","Micha Kurz and Khaled Farrag","","",""
"Greater Boston Committee","","","","United States","","","",""
"Hampton Roads For Civic Engagement","A breakdown on the ins and outs of the HRCCE and what their main drive and goals are.
","Shamshir Kaur
The Hampton Roads Center for Civic Engagement (HRCCE)
Definition
The HRCCE’s main purpose is to promote a democracy in Hampton Roads, Virginia in which deliberation is maintained and then integrate that sustainable democracy...","","United States","Todd Solomon","4","33",""
"Hansard Society","","Mission and PurposeThe Hansard Society is a UK independent, non-partisan political research and education charity. They aim to strengthen parliamentary democracy and encourage greater public involvement in politics. At the heart of their work is the...","","United Kingdom","Fiona Booth","22","",""
"Hawaii Department of Transportation","","Stub","","United States","","","",""
"Healthy Democracy","Healthy Democracy is a nonpartisan, nonprofit organization dedicated to elevating the public’s voice in our democracy. We work to advance innovative and powerful ways for the public to engage in the democratic process and improve our political discourse.

We don’t work for one side or another on the ‘issues of the day’. We do work on in-depth and fair deliberations, both in-person and online, in order to build meaningful new ways for the public to weigh in on the important issues facing us all."," Mission and PurposeHealthy Democracy is a nonpartisan, nonprofit organization dedicated to elevating the public’s voice in our democracy. We work to advance innovative and powerful ways for the public to engage in the democratic process and improve our...","","United States","Tyrone Reitman","","",""
"Heinz Nixdorf Stiftung","The Heinz Nixdorf Stiftung is an independent, non-profit, foundation funded by the wealth derived from the stock Heinz Nixdorf held in the Nixdorf Computer AG before his death. The Heinz Nixdorf Stiftung and its sister foundation Stiftung Westfalen are among the bigger private foundations in Germany, according to their website.","Mission and PurposeThe foundation aims to enhance each persons conscious awareness as well as achievement potential by supporting individual development of each person with the goal of personal well-being and the accomplishment of a unified society...","","Germany","Martin Nixdorf","","",""
"IAP2 USA","The International Association for Public Participation—United States of America (IAP2 USA), an affiliate of IAP2, is a nonprofit organization which supports the advancement of public participation in the United States by providing our members with tools and information to conduct high quality public participation processes and by providing government, industry and nonprofit organizations with educational resources to increase the quality of their participation in such processes.","Mission and PurposeIAP2 USA advances public participation in the United States by providing its members with tools and information to conduct high-quality public participation processes, by providing government, industry, nonprofit organizations and...","","United States","","","",""
"IDemos","","איידמוס היא שיטה.
שיטה שאנו מצפים לה ומחכים לה כבר זמן רב.
שיטה המאפשרת לנו, אזרחי מדינת ישראל, לקחת חלק פעיל ומתמשך בעיצוב המדינה ועתידנו.
השיטה מבוססת על דמוקרטיה אמיתית, חכמת ההמונים, שקיפות, אמינות המידע, איזון וגמישות, תוך שימוש בכלים הטכנולוגיים של...","","Israel","Dor Konforty","","",""
"In Control","","Mission and PurposeIn Control is an organisation helping people get real choice and control. They are supporting local authorities to deliver Self-Directed Support.In Control is a social enterprise that was set up to transform the current social care...","","","Julie Stansfield","","",""
"Indiana Conflict Resolution Institute","","","","","","","",""
"Infed","","Mission and PurposeInfed (the informal education homepage and encyclopaedia of informal education) was established in 1995 at the YMCA George Williams College, London as an open and not-for-profit site.Their aim is to provide a space for people to...","","","Mark K. Smith","","",""
"Initiative and Referendum Institute Europe IRI","","The Initiative and Referendum Institute Europe (IRI Europe) is a transnational think-tank dedicated to research and education on the procedures and practices of modern direct democracy. IRI Europe is a non-partisan, non-profit association with...","","","","","",""
"Initiative and Referendum Institute – Asia","","Purpose and Problema) Mission Background:The Taiwan Foundation for Democracy hosted a team of six international observers from the IRI-Asia International Steering Committee, representing seven countries in Asia and Europe, from 19-24 March 2008 in Taipei...","","Taiwan","Mr. Ramon Casiple","","",""
"Insights: Powering Collective Thinking","Insights helps you interact and consult with large-scale audiences. Our pioneering technology lets you consult effectively with ALL stakeholders and engage them in decision making. You can extract actionable insights from the crowd, engage your audience and boost their commitment. We enable you to collect answers instantly; crowdsource the data analysis into insights; make your decisions, and feedback each participant on personal impact.","Insights offers a pioneering technology to tap the wisdom of crowds.Integrating our web-based platform leads to creative and valuable inputs that enhance your decision making. We enable you to interact with large target audience,  crowdsource the data...","","United States","","","",""
"Institut de la Concertation","","Mission and PurposeFounded in 2008, the ""Institut de la Concertation"" is a non-partisan, non-profit French national network of praticioners engaged in citizen participation, stakeholders dialogue and consensus building. It is made of consultants,...","","France","","","","300"
"Institut du Nouveau Monde",""," Democratic participation and social innovation – the essence of the Institut du Nouveau MondeThe Institut du Nouveau Monde or INM (an equivalent English name would be New World Institute) is an independent, non-partisan, non-profit...","","Canada","","","",""
" Institut für Sozialmedizin der Universität zu Lübeck","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Institute for 21st Century Agoras","The Institute for 21st Century Agoras (AGORAS) promotes a democratic transformation of civil society and government by empowering the capacity of client organizations and educators to produce breakthroughs in the collective confrontation of multidimensional wicked problems. Our immediate mission is to establish and nurture new Agoras of the 21st century – global centers of democratic participatory design and education – in areas of critical socio-political importance or demand.

 With each shift in human social communication and technology, the means for wise engagement must evolve. In ancient Athens, all citizens could meet face to face in the public arena. Today, our arenas are globally distributed, with unmanageable relational and problem complexity. The Institute supports client organizations with tools, practices, and training to support engagements for addressing projects of high sociotechnical complexity.
 

""At this critical juncture of the evolutionary process of humanity, there cannot be conscious evolution without the capacity to explicate through dialogue the wisdom of the people in the Agoras of the 21st Century Global Village.""
 
 Alexander Christakis (Founder)

The technology of democracy uniquely promoted by the AGORAS is called structutred dialogic design, and the venue for using this apporach is called a co-laboratory of democracy.","                   Mission and PurposeThe Institute for 21st Century Agoras (AGORAS), an international nonprofit 501(c)(3) [EIN 03-0466448] education entity incorporated in the State of California in June 2002, is a membership organization composed of...","","United States","","","",""
"Institute for Citizenship",""," Mission and Purpose 
The Institute for Citizenship is an independent charitable trust. Their aim is to promote informed, active citizenship and greater participation in democracy and society through a combination of community projects, research,...","","United Kingdom","Zandria Pauncefort","","",""
"Institute for Democratic Participatory Governance (IDPG)","","","","United States","","","",""
"Institute on the Common Good","","The Institute on the Common Good at Regis University is an organization located on the Regis University campus in Denver, Colorado. The Institute on the Common Good's mission is to serve ""the community at-large by promoting the common good and providing...","225","","Paul Alexander","3","",""
"Intellitics","Intellitics, Inc. is a digital engagement firm based in San José, CA (USA). Intellitics supports organizations in the public, private and non-profit sector as they seek to apply technology to engage stakeholders, constituents and communities in high-quality online dialogue and deliberation and other participatory processes.","Mission and PurposeTo create a more participatory world.HistoryIntellitics, Inc. was founded in August of 2008 by Tim Bonnemann. After spending its first four years in R&D mode, business operations began in earnest in September of 2012. Intellitics...","","United States","","","",""
"Interactivity Foundation","","Mission and PurposeThe Interactivity Foundation (IF) provides forums for citizens to explore public policy. IF believes that the health of a democracy depends on “how well its citizens discuss, explore and develop public policy.” Public policy choices...","","","Jack Byrd","12","",""
"International Association for Public Participation","","Mission and PurposeIAP2 is an international association of members who seek to promote and improve the practice of public participation in relation to individuals, governments, institutions, and other entities that affect the public interest in nations...","","","Moira Deslandes","","",""
"International Budget Partnership","","Mission and PurposeInternational Budget Partnership (IBP) wants to fight poverty and to do so they need to address government budgets. Budgets are the government’s most powerful tool to meet the needs and priorities of a country and its people. The aim...","7","","Warren Krafchik","26","",""
"International Civil Society Consortium","","SummaryThe International Civil Society Consortium is a network of nonprofit organization from many countries that promote positive democratic institutions and public deliberation. The group of organizations from Europe, Asia, the Middle East, the...","","","","","",""
"International Institute for Democracy and Electoral Assistance",""," INTERNATIONAL IDEA 
 SUPPORTING DEMOCRACY WORLDWIDE 
The International Institute for Democracy and Electoral Assistance is an intergovernmental organization.
Its programmes aim to:

 Provide knowledge to democracy builders
 Provide policy development...","","","","","",""
"International Observatory on Participatory Democracy","","Mission and PurposeThe International Observatory on Participatory Democracy (IOPD) is a space open to all cities in the world and all associations, organizations and research centres interested in learning about, exchanging impressions and applying...","","Spain","","","1",""
"International Organization of Citizens for the Sustainable Management of Societies","","Web Site and Contact InformationIOCSMS.orgDenis.Pageau at IOCSMS.ORG Mission Empower the citizen of our Global Village The mission of the International Organization of Citizens for the Sustainable Management of Societies, or IOCSMS, is to...","","Canada","Denis Pageau","","","100"
"Internetes DEmokrácia pártja","","The party of Internet DEmocracy （Hungarian: Internetes DEmokrácia pártja. Abbreviated IDE） is a Hungarian political party, which was established at 23 July 2004 in Gyöngyös.


 Aims of IDE 
IDE aims to complement the existing representative democratic...","","Hungary","","","",""
"Involve","","Mission and PurposeInvolve are public participation specialists. Their aim is to involve citizens in public decision making. They work with a variety of organizations, from government to private sector. Involve makes a practical difference by delivering...","","United Kingdom","Simon Burall","9","",""
"Involving People","","Mission and PurposeInvolving People has been set up to support and encourage patient, service user and carer involvement in health and social care research in Wales.Through processes of active involvement, where people are not just the subjects of...","","","","","",""
"Izwe Group","","MissionThe Izwe group is a social entreprise aimed at facilitating better communication amongst and within organisations, government and communities. Izwe was founded in 2009 by Richard Wilson and Nick Nielson who are leaders in participation and...","","","Richard Wilson and Nick Nielson","","",""
"Jacques Delors Institute (Notre Europe)","","Note: the following article is a stub. Please help us to complete itMission and Purpose""The Jacques Delors Institute is the European think tank founded by Jacques Delors in 1996 (under the name Notre Europe), at the end of his presidency of the European...","1,250 Million Euros Annually","France","Yves Bertoncini","","",""
"Jefferson Action","The 501(c)(4) nonprofit partner of the Jefferson Center for New Democratic Processes.","

Mission and PurposeJefferson Action is a non-partisan, non-profit organization dedicated to returning democracy to the people. Its mission is making the informed voice of everyday citizens heard — and making sure elected officials and politicians...","","United States","","","",""
"Jefferson Center","","Mission and PurposeThe Jefferson Center for New Democratic Processes is the originator of the Citizens Jury , which creates opportunities for everyday citizens to provide high-quality input on a variety of public policy issues.In a Citizens Jury, a...","","United States","","","2",""
"Jeffrey Abelson","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Kentucky Center for Public Issues (Kentucky, USA)","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you! Mission and Purpose History Specializations and activities...","","United States","","","",""
"Kentucky Water Resources Research Institute","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Kettering Foundation","","Mission and PurposeMissionThe foundation’s mission is to develop strategies that will help in strengthening democracy. They are concerned with what the citizens in our country are concerned with, and in turn focus on these issues. A question that has...","","","David Mathews (President/CEO)","40","",""
"Kuna ACT Board of Directors","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Laboratorio Urbano Aperto (LUA) - Open Urban Laboratory  ","LUA is a cultural association located in San Cassiano whose aim is to enhance participatory urban planning through visual and creative processes and interaction: different members of the community interact and communicate about their feelings, emotions, and perceptions through community art projects.","Note: this is a stub, please help us to fill it out.Website: http://www.laboratoriourbanoaperto.com/lua/index.php/infoMission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External...","","Italy","","","",""
"Latvian Ministry of Regional Development","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Linnalabor / Estonian Urban Lab","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Linkswww.linnalabor.eeNotes ","","Estonia","Teele Pehk","","",""
"Local Government Centre","","Mission and PurposeThe Local Government Centre is a research centre focusing on major political, economic and social challenges facing local and regional governance and the development of policy initiatives.They specialise in evaluating national and...","","","Howard Davis","","",""
"LogoLink","","Mission and PurposeLogoLink represents a collection of individuals from various agencies and institutions around the world. By cooperating and working in concert with one another, the goal of the organization is to bring about increased participation in...","","","Jose Carlos Vaz and Rafael Martins","","",""
"London Citizens","","Mission and PurposeLondon CITIZENS is a grassroots charity working with local people for local people. Their goal is social, economic and environmental justice. They meet that goal by training people of all ages, faiths and backgrounds to take action...","","United Kingdom","Neil Jameson","","",""
"Making All Voices Count (MAVC)","Making All Voices Count is an international programme funded by the Department for International Development (DFID), the United States Agency for International Development (USAID), the Swedish International Development Cooperation Agency (Sida) and the Omidyar Network (ON). The programme is aimed at encouraging citizen engagement and accountable governance."," Mission and PurposeMaking All Voices Count is an international programme funded by the Department for International Development (DFID), the United States Agency for International Development (USAID), the Swedish International Development Cooperation...","","","","","",""
"MASS LBP","MASS LBP is a consultancy that designs and delivers highly innovative engagement strategies that increase public understanding, legitimacy and support for complex decisions and policy choices. MASS LBP's principal methods are the Civic Lottery and the Citizens' Reference Panel.","Mission and PurposeMASS LBP's work goes far beyond polling or focus groups. From conception to execution to evaluation, MASS LBP designs and delivers highly innovative engagement strategies that increase public understanding, legitimacy and support for...","","Canada","Peter MacLeod","8","1",""
"Mehr Demokratie","","Mehr Demokratie (Germany) is the driving force for referenda and a better electoral law. Every vote counts equally and everybody has the right to participate. That's what we stand up for.Citizens committed to change founded Mehr Demokratie in 1988. Today...","","Germany","","","",""
"Mehr Demokratie (Austria)","","Direct Democracy Austria Mehr Demokratie Austria content:  Unsere Organisation   Unsere Ziele    Our citizens’ initiative has existed since the beginning of 2006 and is independent from any political party. We see our field of action in public relations...","","Austria","","","",""
"Metagovernment","","The mission of the Metagovernment project is to support the development and use of Internet tools which enable the members of any community to fully participate in the governance of that community. It is a global group of people working on various...","","","Adhocracy; to be replaced by governance software","","","100+"
"Miller-Rose Institute Initiative Database","","Welcome to the Miller-Rose Institute Initiative Database. This database provides information on all statewide initiatives adopted by voters in the United States from the first successful statewide initiative in 1904 through 2010. It allows users to sort...","","","","","",""
"Ministry of Abuja","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Ministry of Health (Brazil)","","","","United States","","","",""
"Ministry of Public Administration and Security, Republic of Korea","","","","United States","","","",""
"Ministry of the Environment (Germany)","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Mississippi River Commission","","Since 1879, the seven-member Presidentially appointed Mississippi River Commission has developed and matured plans for the general improvement of the Mississippi River from the Head of Passes to the Headwaters. The Mississippi River Commission brings...","","","Stephen Gambrell","","",""
"MoveOn","","History MoveOn was founded by the married couple Joan Blades and Wes Boyd during the Lewinsky affair in the late 1990s. Tired of scandal-focused politics, they started a web site providing a petition addressed to Congress, to censure Clinton‘s behaviour...","","","","19","",""
"Municipality of Florence","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Municipality of Utrecht","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you!Mission and Purpose History Specializations and activities ...","","United States","","","",""
"My City Market","I launched My City Market on October 10th, 2014 as a new project (and initiative) dedicated to the promotion of locally-owned small businesses,  entrepreneurship, innovation, technology and sustainable economic practices focused on the concepts of shared prosperity, fairness, and democracy in the workplace.","I launched My City Market on October 10th, 2014 as a new project (and initiative) dedicated to the promotion of locally-owned small businesses,  entrepreneurship, innovation, technology and sustainable economic practices focused on the concepts of shared...","","","","","",""
"MySociety","","MySociety.org is a project of a registered charity named UK Citizens Online Democracy. It was founded by Tom Steinberg in 2003. The organization designs and runs most of the best-known e-democracy websites in the UK. It is supported by donations and...","","United Kingdom","Tom Steinberg","6","",""
"National Co-ordinating Centre for Public Engagement","","Mission and PurposeThe NCCPE seeks to support a culture change in the HEI sector through their vision, mission and aims.Their vision is of a higher education sector making a vital, strategic and valued contribution to 21st-century society through its...","","","Paul Manners","","",""
"National Coalition for Dialogue & Deliberation","NCDD is a community and coalition of 1,500 groups and professionals who bring people of all stripes together to discuss, decide and collaborate on today's toughest issues.","Mission and PurposeThe National Coalition for Dialogue & Deliberation (NCDD) is an active network of over 1,500 organizations and professionals who engage the public around today's most challenging problems across partisan, ethnic and other divides....","","United States","Sandy Heierbacher","2","1","50"
"National Initiative for Democracy","","The  National Initiative for Democracy NI4D is a proposal which will permit the People to make or change laws by initiative at all levels of government, including at the federal level.

 Concise and publically vetted, over 100 years in the making
 Builds...","","","","","",""
